"행정구역","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~9세","2022년_거주자_10~19세","2022년_거주자_20~29세","2022년_거주자_30~39세","2022년_거주자_40~49세","2022년_거주자_50~59세","2022년_거주자_60~69세","2022년_거주자_70~79세","2022년_거주자_80~89세","2022년_거주자_90~99세","2022년_거주자_100세 이상","2022년_남_거주자_총인구수","2022년_남_거주자_연령구간인구수","2022년_남_거주자_0~9세","2022년_남_거주자_10~19세","2022년_남_거주자_20~29세","2022년_남_거주자_30~39세","2022년_남_거주자_40~49세","2022년_남_거주자_50~59세","2022년_남_거주자_60~69세","2022년_남_거주자_70~79세","2022년_남_거주자_80~89세","2022년_남_거주자_90~99세","2022년_남_거주자_100세 이상","2022년_여_거주자_총인구수","2022년_여_거주자_연령구간인구수","2022년_여_거주자_0~9세","2022년_여_거주자_10~19세","2022년_여_거주자_20~29세","2022년_여_거주자_30~39세","2022년_여_거주자_40~49세","2022년_여_거주자_50~59세","2022년_여_거주자_60~69세","2022년_여_거주자_70~79세","2022년_여_거주자_80~89세","2022년_여_거주자_90~99세","2022년_여_거주자_100세 이상"
"서울특별시  (1100000000)","9,355,332","9,355,332","544,780","746,919","1,384,252","1,417,338","1,435,104","1,473,354","1,283,051","708,404","319,157","41,800","1,173","4,532,400","4,532,400","279,735","382,599","661,767","708,464","709,394","724,291","605,958","321,238","127,937","10,782","235","4,822,932","4,822,932","265,045","364,320","722,485","708,874","725,710","749,063","677,093","387,166","191,220","31,018","938"
"서울특별시 종로구 (1111000000)","139,437","139,437","6,392","10,027","22,125","19,163","19,636","23,701","19,863","11,233","6,379","890","28","67,371","67,371","3,232","4,970","10,528","9,551","9,448","11,802","9,953","5,024","2,582","272","9","72,066","72,066","3,160","5,057","11,597","9,612","10,188","11,899","9,910","6,209","3,797","618","19"
"서울특별시 중구 (1114000000)","118,665","118,665","5,954","6,267","17,531","19,700","16,449","18,911","17,630","10,108","5,282","807","26","57,605","57,605","3,055","3,120","8,144","9,871","8,361","9,503","8,796","4,565","1,972","211","7","61,060","61,060","2,899","3,147","9,387","9,829","8,088","9,408","8,834","5,543","3,310","596","19"
"서울특별시 용산구 (1117000000)","215,127","215,127","11,933","14,105","31,579","37,669","31,927","34,384","28,415","15,179","8,619","1,280","37","103,441","103,441","6,088","7,196","14,662","18,672","15,778","16,852","13,886","6,673","3,256","374","4","111,686","111,686","5,845","6,909","16,917","18,997","16,149","17,532","14,529","8,506","5,363","906","33"
"서울특별시 성동구 (1120000000)","278,758","278,758","18,225","18,433","41,991","45,432","41,801","44,272","37,808","19,898","9,705","1,152","41","135,467","135,467","9,373","9,170","20,606","22,201","20,969","21,780","18,426","8,879","3,743","310","10","143,291","143,291","8,852","9,263","21,385","23,231","20,832","22,492","19,382","11,019","5,962","842","31"
"서울특별시 광진구 (1121500000)","334,978","334,978","16,435","24,418","60,072","54,424","48,732","52,558","44,157","22,586","10,273","1,283","40","161,294","161,294","8,458","12,325","28,005","27,118","23,892","25,558","21,113","10,302","4,166","345","12","173,684","173,684","7,977","12,093","32,067","27,306","24,840","27,000","23,044","12,284","6,107","938","28"
"서울특별시 동대문구 (1123000000)","334,154","334,154","18,627","22,666","56,012","48,309","47,924","50,884","47,312","27,626","13,242","1,497","55","164,365","164,365","9,500","11,542","27,013","24,860","24,649","25,683","22,996","12,413","5,286","413","10","169,789","169,789","9,127","11,124","28,999","23,449","23,275","25,201","24,316","15,213","7,956","1,084","45"
"서울특별시 중랑구 (1126000000)","383,029","383,029","20,331","24,788","52,148","57,466","54,271","65,040","61,478","31,892","13,919","1,656","40","188,205","188,205","10,392","12,661","25,281","29,452","28,167","32,055","29,707","14,557","5,536","390","7","194,824","194,824","9,939","12,127","26,867","28,014","26,104","32,985","31,771","17,335","8,383","1,266","33"
"서울특별시 성북구 (1129000000)","427,473","427,473","25,863","36,065","65,206","57,386","65,437","69,393","56,794","32,719","16,507","2,057","46","205,472","205,472","13,214","18,335","31,046","28,694","32,014","34,235","26,650","14,242","6,510","524","8","222,001","222,001","12,649","17,730","34,160","28,692","33,423","35,158","30,144","18,477","9,997","1,533","38"
"서울특별시 강북구 (1130500000)","291,344","291,344","12,770","19,989","39,710","35,692","41,620","50,056","46,886","29,253","13,874","1,455","39","141,327","141,327","6,545","10,160","19,285","18,692","21,419","24,692","21,983","12,558","5,582","400","11","150,017","150,017","6,225","9,829","20,425","17,000","20,201","25,364","24,903","16,695","8,292","1,055","28"
"서울특별시 도봉구 (1132000000)","309,831","309,831","15,569","23,456","39,276","38,098","44,074","54,228","51,701","27,951","13,683","1,755","40","150,414","150,414","8,086","12,107","19,662","19,566","21,925","25,981","24,327","12,834","5,458","460","8","159,417","159,417","7,483","11,349","19,614","18,532","22,149","28,247","27,374","15,117","8,225","1,295","32"
