"행정구역별(읍면동)",2015,2016,2017,2018,2019,2020,2021,2022
"행정구역별(읍면동)",총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명)
"전국",51069375,51269554,51422507,51629512,51779203,51829136,51738071,51692272
"서울특별시",9904312,9805506,9741871,9673936,9639541,9586195,9472127,9417469
"종로구",161521,154398,157277,157967,154969,151291,148857,147512
"중구",128478,128160,127896,129797,130957,128744,126310,125257
"용산구",227282,224993,223898,226938,227181,225882,221688,219289
"성동구",295006,294744,302367,306796,299688,291918,286469,282131
"광진구",368199,363979,363934,362304,359766,353967,347099,346519
"동대문구",364787,359935,357380,358141,355094,351057,348201,350709
"중랑구",403237,399317,396892,391668,386331,385663,380307,379127
"성북구",456844,451800,445417,438734,445327,438833,435509,436113
"강북구",319992,316212,313698,309138,303871,299535,292611,287788
"도봉구",340095,336745,332586,328243,323543,315979,309200,304137
"노원구",562996,555420,543499,534096,522480,511982,503929,496423
"은평구",478374,472242,466243,462552,461530,463102,457385,454649
"서대문구",308768,320258,321345,318874,319394,317209,314547,318308
"마포구",381330,375142,368841,368181,369327,365612,365192,362408
"양천구",465512,460267,452111,445591,440354,439068,433373,426981
"강서구",570507,574287,581675,578539,574097,564854,559837,555999
"구로구",444832,442165,436869,433765,435560,435442,426220,424038
"금천구",250690,247819,249930,249344,249747,249419,247398,247185
"영등포구",406528,398120,393560,395286,394083,403619,402984,401805
"동작구",407894,404076,400236,397980,400368,392772,388094,386605
"관악구",519622,515648,511222,510303,507828,502641,495777,496743
"서초구",420804,419682,414550,409491,404960,401749,392302,383181
"강남구",541688,532469,522514,507810,509199,508135,503019,500149
"송파구",634941,628212,633953,638167,648600,643288,634720,635758
"강동구",444385,429416,423978,414231,415287,444434,451099,448655
"부산광역시",3448737,3440484,3416918,3395278,3372692,3349016,3324335,3295760
"중구",45377,44514,43799,42766,41958,41439,41539,41145
"서구",111996,109916,106924,107028,105847,105303,104130,104824
"동구",89202,87065,86106,84557,85673,87246,86035,85918
"영도구",129515,126638,123531,120731,117959,113224,112834,109889
"부산진구",376321,370250,366492,357723,352390,351403,351201,350426
"동래구",262154,262054,261671,258386,260986,263345,259838,267292
"남구",283741,279802,275941,282645,278849,269111,264756,258062
"북구",299182,303445,296945,291675,285098,280177,279815,275580
"해운대구",409037,408042,399363,396311,392846,389535,386064,377199
"사하구",334762,331881,330293,326655,319828,312057,305790,303000
"금정구",249444,247752,246891,247971,244726,237219,233596,227484
"강서구",92628,106106,116702,121351,128809,136734,142110,143734
"연제구",203527,201181,201053,199887,203959,204947,201217,199751
"수영구",173069,172667,173059,170296,170414,171461,170720,170007
"사상구",240709,235080,231587,226961,222618,216350,211788,206948
"기장군",148073,154091,156561,160335,160732,169465,172902,174501
"대구광역시",2466052,2461002,2453041,2444412,2429940,2410700,2387911,2366852
"중구",78334,77234,75324,76935,75561,74278,72834,77512
"동구",339608,341583,340396,342396,337439,333294,332637,332954
"서구",202963,197210,191414,183857,175243,170437,165455,160754
"남구",160164,155833,152785,150132,147500,145588,144898,142675
"북구",450579,446632,445293,444759,446050,446466,444446,439303
"수성구",437328,432714,425546,418834,415283,412912,408085,402458
"달서구",607224,596901,583043,576746,574390,566712,554702,545073
"달성군",189852,212895,239240,250753,258474,261013,264854,266123
"인천광역시",2890451,2913024,2925967,2936117,2952237,2945454,2957044,2989125
"중구",112910,113135,115153,119514,131863,138586,141758,150777
"동구",71054,69449,68171,65185,63003,61285,61053,58078
"남구",405746,416414,421851,-,-,-,-,-
"연수구",317172,329886,337595,349963,374413,390260,399594,400488
"남동구",527324,528939,534050,537389,533119,528927,521165,511392
"부평구",548461,544319,538236,525014,514385,500812,494641,498254
"계양구",327311,323196,318104,307598,298912,292852,290967,288122
"서구",499540,506040,509776,532713,540655,541534,551026,581069
"미추홀구",-,-,-,415102,411612,405886,412022,415196
"강화군",62291,62741,63737,64432,65235,66020,65834,66420
"옹진군",18642,18905,19294,19207,19040,19292,18984,19329
