Year,Population,Dead,Birth,In,Out,Income,Debt,Growth,CPI,Policy ,Apartment
2001.00,10287325.00,38455.00,114764.00,1198473.00,1208504.00,2034.00,4156.00,4.90,4.10,4.00,25000.00
2002.00,10235315.00,38925.00,102008.00,1231016.00,1244019.00,2197.00,4522.00,7.70,2.80,4.25,29000.00
2003.00,10190690.00,38068.00,101227.00,1221246.00,1231814.00,2244.00,4888.00,3.10,3.50,3.75,30500.00
2004.00,10173624.00,38274.00,99828.00,1108645.00,1119138.00,2331.00,5254.00,5.20,3.60,3.25,31000.00
2005.00,10170253.00,38751.00,90468.00,1161065.00,1170171.00,2383.00,5620.00,4.30,2.80,3.75,32500.00
2006.00,10174255.00,38519.00,93922.00,1278267.00,1274760.00,2465.00,5986.00,5.30,2.20,4.50,47000.00
2007.00,10186938.00,39016.00,101249.00,1257881.00,1262365.00,2592.00,6351.00,5.80,2.50,5.00,50000.00
2008.00,10196769.00,38298.00,94736.00,1212597.00,1222367.00,2582.00,6717.00,3.00,4.70,3.00,43000.00
2009.00,10204565.00,38790.00,89594.00,1136701.00,1146033.00,2633.00,7083.00,0.80,2.80,2.00,49000.00
2010.00,10175960.00,40130.00,93266.00,1058340.00,1102053.00,2808.00,7449.00,6.80,2.90,2.50,45000.00
2011.00,10116242.00,40320.00,91526.00,1028523.00,1073057.00,2832.00,7815.00,3.70,4.00,3.25,47000.00
2012.00,10062309.00,41514.00,93914.00,959944.00,995023.00,2900.00,8263.00,2.40,2.20,2.75,43000.00
2013.00,10012712.00,42063.00,84066.00,937025.00,971609.00,2998.00,8596.00,3.20,1.30,2.50,45000.00
2014.00,9970993.00,42153.00,83711.00,965125.00,993875.00,3083.00,8924.00,3.20,1.30,2.00,47000.00
2015.00,9907155.00,43053.00,83005.00,978123.00,1032191.00,3260.00,9425.00,2.80,0.70,1.50,55000.00
2016.00,9811039.00,43540.00,75536.00,958536.00,1008507.00,3391.00,9736.00,2.90,1.00,1.25,55000.00
2017.00,9724401.00,42932.00,65389.00,948896.00,977222.00,3493.00,9690.00,3.20,1.90,1.50,61000.00
2018.00,9642857.00,45219.00,58074.00,965717.00,988935.00,3532.00,10073.00,2.90,1.50,1.75,89000.00
2019.00,9578975.00,43829.00,53673.00,974176.00,970308.00,3532.00,10635.00,2.20,0.40,1.25,97000.00
2020.00,9533412.00,45522.00,47445.00,1076183.00,1082959.00,3530.00,11077.00,-0.70,0.50,0.50,115000.00
2021.00,9453878.00,48798.00,45531.00,999614.00,1037104.00,3659.00,11716.00,4.30,2.50,1.00,130500.00
2022.00,9378610.00,55296.00,42602.00,888184.00,879362.00,3642.00,11972.00,2.60,5.10,3.25,115000.00
