연도,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
서울특별시,9904312,9805506,9741871,9673936,9639541,9586195,9472127,9417469,9356393,9290010,9223626,9157242,9090859,9024475,8958092,8891708,8825325,8758941,8692558,8626174,8559790,8493407,8427023,8360640,8294256,8227873,8161489,8095105,8028722,7962338,7895955
부산광역시,3448737,3440484,3416918,3395278,3372692,3349016,3324335,3295760,3279801,3257446,3235090,3212734,3190379,3168023,3145667,3123312,3100956,3078600,3056245,3033889,3011533,2989178,2966822,2944466,2922111,2899755,2877399,2855044,2832688,2810332,2787977
대구광역시,2466052,2461002,2453041,2444412,2429940,2410700,2387911,2366852,2363130,2348828,2334527,2320225,2305923,2291621,2277319,2263018,2248716,2234414,2220112,2205811,2191509,2177207,2162905,2148603,2134302,2120000,2105698,2091396,2077094,2062793,2048491
인천광역시,2890451,2913024,2925967,2936117,2952237,2945454,2957044,2989125,2991466,3003197,3014928,3026659,3038390,3050121,3061852,3073583,3085314,3097045,3108776,3120506,3132237,3143968,3155699,3167430,3179161,3190892,3202623,3214354,3226085,3237816,3249547
광주광역시,1502881,1501557,1496172,1490092,1489730,1477573,1475262,1468972,1465012,1459952,1454893,1449833,1444774,1439714,1434655,1429595,1424536,1419476,1414417,1409357,1404298,1399238,1394179,1389119,1384060,1379000,1373941,1368881,1363822,1358762,1353703
대전광역시,1538394,1535445,1525849,1511214,1498839,1488435,1479740,1473662,1460575,1450382,1440188,1429994,1419801,1409607,1399413,1389220,1379026,1368833,1358639,1348445,1338252,1328058,1317864,1307671,1297477,1287283,1277090,1266896,1256703,1246509,1236315
울산광역시,1166615,1166033,1157077,1150116,1143692,1135423,1120753,1110516,1106788,1098568,1090348,1082128,1073908,1065688,1057468,1049248,1041028,1032808,1024588,1016368,1008148,999928,991708,983488,975268,967048,958828,950608,942388,934168,925948
세종특별자치시,204088,242507,276589,312374,338136,353933,366227,382589,423442,448751,474059,499367,524676,549984,575292,600601,625909,651218,676526,701834,727143,752451,777759,803068,828376,853684,878993,904301,929609,954918,980226
경기도,12479061,12671956,12851601,13103188,13300900,13511676,13652529,13717827,14004958,14192483,14380009,14567535,14755061,14942586,15130112,15317638,15505164,15692690,15880215,16067741,16255267,16442793,16630318,16817844,17005370,17192896,17380421,17567947,17755473,17942999,18130524
강원도,1518040,1521751,1521386,1520391,1520127,1521763,1521890,1528037,1525505,1526357,1527209,1528060,1528912,1529764,1530615,1531467,1532319,1533170,1534022,1534874,1535725,1536577,1537429,1538280,1539132,1539984,1540835,1541687,1542539,1543390,1544242
충청북도,1589347,1603404,1611009,1620935,1629343,1632088,1624764,1624993,1639912,1645007,1650101,1655196,1660291,1665386,1670481,1675576,1680670,1685765,1690860,1695955,1701050,1706145,1711240,1716334,1721429,1726524,1731619,1736714,1741809,1746903,1751998
충청남도,2107802,2132566,2162426,2181416,2188649,2176636,2175960,2193214,2211157,2221452,2231746,2242040,2252334,2262629,2272923,2283217,2293511,2303806,2314100,2324394,2334688,2344983,2355277,2365571,2375865,2386160,2396454,2406748,2417042,2427337,2437631
전라북도,1834114,1833168,1826174,1818157,1807423,1802766,1787053,1774248,1771248,1762551,1753853,1745156,1736458,1727761,1719063,1710365,1701668,1692970,1684273,1675575,1666878,1658180,1649483,1640785,1632087,1623390,1614692,1605995,1597297,1588600,1579902
전라남도,1799044,1796017,1792319,1790352,1787543,1788807,1778124,1771431,1772092,1768567,1765042,1761517,1757992,1754467,1750942,1747416,1743891,1740366,1736841,1733316,1729791,1726266,1722741,1719216,1715691,1712166,1708641,1705116,1701591,1698066,1694541
경상북도,2680294,2682169,2677058,2672902,2668154,2644757,2635314,2620373,2619661,2610668,2601676,2592683,2583691,2574698,2565706,2556713,2547720,2538728,2529735,2520743,2511750,2502758,2493765,2484773,2475780,2466788,2457795,2448803,2439810,2430817,2421825
경상남도,3334524,3339633,3345293,3350350,3347209,3333056,3305931,3280829,3298305,3291350,3284395,3277439,3270484,3263529,3256574,3249619,3242664,3235709,3228754,3221799,3214844,3207889,3200934,3193979,3187023,3180068,3173113,3166158,3159203,3152248,3145293
제주특별자치도,605619,623332,641757,658282,665048,670858,673107,676375,696702,706681,716660,726639,736618,746597,756576,766555,776534,786513,796492,806471,816450,826429,836408,846387,856366,866345,876324,886303,896282,906261,916240
